order_id,total_price
651,1688
652,724
653,1380
654,585
655,960
656,627
657,529
658,1520
659,576
660,797
661,1196
662,1287
663,603
664,222
665,412
666,1030
667,1316
668,2539
669,421
670,749
671,1290
672,1452
673,1448
674,1431
675,1708
676,912
677,1502
678,605
679,858
680,511
681,859
682,1024
683,1163
684,353
685,383
686,708
687,1162
688,963
689,1299
690,815
691,997
692,740
693,1587
694,1755
695,857
696,873
697,1229
698,1683
699,1815
700,1311
701,847
702,1534
703,763
704,941
705,2495
706,685
707,1866
708,1122
709,924
710,605
711,1018
712,1529
713,1043
714,1475
715,1414
716,1401
717,1096
718,2082
719,1823
720,944
721,1178
722,941
723,1030
724,1691
725,808
726,408
727,273
728,1035
729,392
730,1356
731,621
732,571
733,932
734,2455
735,1303
736,1285
737,1733
738,998
739,688
740,1079
741,369
742,1152
743,912
744,1120
745,2010
746,1462
747,656
748,1265
749,1158
750,1891
751,1347
752,1073
753,546
754,1347
755,1450
756,343
757,300
758,860
759,1068
760,1098
761,417
762,1240
763,797
764,1685
765,719
766,1229
767,858
768,1355
769,188
770,654
771,505
772,809
773,1005
774,660
775,1055
776,743
777,1855
778,1099
779,1772
780,1051
781,1076
782,1085
783,781
784,1080
785,1693
786,1380
787,1194
788,1215
789,736
790,1998
791,1119
792,1896
793,1556
794,1568
795,522
796,295
797,1367
798,881
799,937
800,989
801,2140
802,238
803,950
804,1571
805,1397
806,456
807,572
808,921
809,876
810,2136
811,616
812,805
813,2032
814,1888
815,1612
816,982
817,810
818,400
819,890
820,1062
821,788
822,726
824,592
825,1015
826,294
827,1472
828,859
829,840
830,1106
831,980
832,95
833,1030
834,923
835,1057
836,506
837,1098
838,636
839,2235
840,1138
841,1154
842,855
843,1914
844,1148
845,1199
846,226
847,495
848,2236
849,948
850,1144
851,755
852,1108
853,1485
854,312
855,1025
856,1234
857,1141
858,1300
859,697
860,790
861,741
862,575
863,920
864,530
865,270
866,721
867,715
868,507
869,1731
870,1249
871,390
872,1794
873,673
874,1807
875,674
876,1245
877,708
878,443
879,364
880,1237
881,1453
882,1351
883,1432
884,2025
885,1256
886,1265
887,857
888,238
889,200
890,2264
891,1286
892,212
893,1154
894,1483
895,1143
896,945
897,1826
898,1379
899,1085
900,1335
901,887
902,996
903,1117
904,1257
905,698
906,863
907,380
908,2093
909,1408
910,1136
911,499
912,279
913,427
914,506
915,1428
916,295
917,109
918,524
919,96
920,1730
921,690
922,497
923,1492
924,519
925,927
926,1313
927,1132
928,953
929,748
930,721
931,292
932,399
933,1173
934,1054
935,1690
936,2376
937,569
938,1503
939,1210
940,2289
941,621
942,869
943,529
944,234
945,1058
946,400
947,291
948,492
949,1198
950,858
951,833
952,1372
953,1781
954,1801
955,932
956,1271
957,288
958,289
959,948
960,1338
961,699
962,1633
963,1378
964,309
965,1234
966,2550
967,1096
968,1667
969,688
970,2390
971,721
972,1824
973,499
974,1282
975,655
976,818
977,877
978,1181
979,444
980,1450
981,1420
982,1024
983,1217
984,2074
985,1093
986,685
987,1137
988,1203
989,809
990,1149
991,1239
992,1015
993,1109
994,836
995,1127
996,1459
997,204
998,1352
999,440
